chrom	start.0base	end	motif	posterior	strand
chr1	6106071	6106078	AP1;MA0099.2	0.128347	+
chr1	6157624	6157631	AP1;MA0099.2	0.132189	-
chr1	6218966	6218973	AP1;MA0099.2	0.128347	-
chr1	6219194	6219201	AP1;MA0099.2	0.128347	-
chr1	6219922	6219929	AP1;MA0099.2	0.124948	-
chr1	6219975	6219982	AP1;MA0099.2	0.128347	-
chr1	6261385	6261392	AP1;MA0099.2	0.124948	-
chr1	6269644	6269651	AP1;MA0099.2	0.132189	+
chr1	6296510	6296517	AP1;MA0099.2	0.128347	-
chr1	6303822	6303829	AP1;MA0099.2	0.128347	-
chr1	6304454	6304461	AP1;MA0099.2	0.132189	-
chr1	6335676	6335683	AP1;MA0099.2	0.128347	-
chr1	6342063	6342070	AP1;MA0099.2	0.171186	+
chr1	6354203	6354210	AP1;MA0099.2	0.128347	-
chr1	6354555	6354562	AP1;MA0099.2	0.171186	+
chr1	6373593	6373600	AP1;MA0099.2	0.124948	-
chr1	6484401	6484408	AP1;MA0099.2	0.128347	+
chr1	6484669	6484676	AP1;MA0099.2	0.128347	-
chr1	6487899	6487906	AP1;MA0099.2	0.132189	-
chr1	6510515	6510522	AP1;MA0099.2	0.128347	-
chr1	6511213	6511220	AP1;MA0099.2	0.410481	+
chr1	6511637	6511644	AP1;MA0099.2	0.128347	+
chr1	6511912	6511919	AP1;MA0099.2	0.132189	-
chr1	6520050	6520057	AP1;MA0099.2	0.128347	+
chr1	6520728	6520735	AP1;MA0099.2	0.124948	-
chr1	6523685	6523692	AP1;MA0099.2	0.128347	-
chr1	6531508	6531515	AP1;MA0099.2	0.128347	+
chr1	6534050	6534057	AP1;MA0099.2	0.132189	+
chr1	6551790	6551797	AP1;MA0099.2	0.410481	+
chr10	5903300	5903307	AP1;MA0099.2	0.128347	-
chr10	5903392	5903399	AP1;MA0099.2	0.410481	+
chr10	5903433	5903440	AP1;MA0099.2	0.410481	+
chr10	5931801	5931808	AP1;MA0099.2	0.128347	-
chr10	5937043	5937050	AP1;MA0099.2	0.410481	-
chr10	5987669	5987676	AP1;MA0099.2	0.128347	-
chr10	5988263	5988270	AP1;MA0099.2	0.128347	-
chr10	6019622	6019629	AP1;MA0099.2	0.410481	+
chr10	6020166	6020173	AP1;MA0099.2	0.128347	+
chr10	6045012	6045019	AP1;MA0099.2	0.410481	-
chr10	6045644	6045651	AP1;MA0099.2	0.128347	+
chr10	6084137	6084144	AP1;MA0099.2	0.124948	-
chr10	6092506	6092513	AP1;MA0099.2	0.128347	-
chr10	6093592	6093599	AP1;MA0099.2	0.128347	+
chr10	6094219	6094226	AP1;MA0099.2	0.128347	-
chr10	6094325	6094332	AP1;MA0099.2	0.132189	-
chr10	6094395	6094402	AP1;MA0099.2	0.132189	+
chr10	6094768	6094775	AP1;MA0099.2	0.410481	+
chr10	6107759	6107766	AP1;MA0099.2	0.128347	-
chr10	6183344	6183351	AP1;MA0099.2	0.171186	-
chr10	6186440	6186447	AP1;MA0099.2	0.410481	-
chr10	6213935	6213942	AP1;MA0099.2	0.171186	-
chr10	6247466	6247473	AP1;MA0099.2	0.128347	+
chr10	6249299	6249306	AP1;MA0099.2	0.128347	-
chr10	6249786	6249793	AP1;MA0099.2	0.410481	-
chr10	6250618	6250625	AP1;MA0099.2	0.410481	-
chr10	6255556	6255563	AP1;MA0099.2	0.132189	+
chr10	6261063	6261070	AP1;MA0099.2	0.128347	+
chr10	6261366	6261373	AP1;MA0099.2	0.410481	+
chr10	6300556	6300563	AP1;MA0099.2	0.124948	+
chr10	6311994	6312001	AP1;MA0099.2	0.128347	-
chr10	6312358	6312365	AP1;MA0099.2	0.132189	-
chr10	6312414	6312421	AP1;MA0099.2	0.132189	+
chr10	6312823	6312830	AP1;MA0099.2	0.410481	+
chr10	6317344	6317351	AP1;MA0099.2	0.410481	+
chr10	6317447	6317454	AP1;MA0099.2	0.410481	+
chr10	6317688	6317695	AP1;MA0099.2	0.128347	+
chr10	6337295	6337302	AP1;MA0099.2	0.128347	+
chr10	6342292	6342299	AP1;MA0099.2	0.132189	+
chr10	6346729	6346736	AP1;MA0099.2	0.128347	+
chr10	6390316	6390323	AP1;MA0099.2	0.132189	+
chr10	6425182	6425189	AP1;MA0099.2	0.410481	+
chr10	6425862	6425869	AP1;MA0099.2	0.128347	+
chr10	6437748	6437755	AP1;MA0099.2	0.124948	-
chr10	6438687	6438694	AP1;MA0099.2	0.171186	+
chr10	6442985	6442992	AP1;MA0099.2	0.410481	-
chr10	6443656	6443663	AP1;MA0099.2	0.410481	-
chr10	6443897	6443904	AP1;MA0099.2	0.128347	-
chr10	6452838	6452845	AP1;MA0099.2	0.128347	-
chr10	6534023	6534030	AP1;MA0099.2	0.128347	-
chr10	6557410	6557417	AP1;MA0099.2	0.128347	-
chr11	5949626	5949633	AP1;MA0099.2	0.410481	+
chr11	5949751	5949758	AP1;MA0099.2	0.410481	+
chr11	5960174	5960181	AP1;MA0099.2	0.171186	-
chr11	6222928	6222935	AP1;MA0099.2	0.132189	+
chr11	6222948	6222955	AP1;MA0099.2	0.410481	-
chr11	6226380	6226387	AP1;MA0099.2	0.124948	-
chr11	6226645	6226652	AP1;MA0099.2	0.410481	+
chr11	6260146	6260153	AP1;MA0099.2	0.128347	-
chr11	6340037	6340044	AP1;MA0099.2	0.132189	-
chr11	6341798	6341805	AP1;MA0099.2	0.410481	+
chr11	6378267	6378274	AP1;MA0099.2	0.132189	+
chr11	6378619	6378626	AP1;MA0099.2	0.410481	-
chr11	6378705	6378712	AP1;MA0099.2	0.128347	-
chr11	6411196	6411203	AP1;MA0099.2	0.171186	+
chr11	6411223	6411230	AP1;MA0099.2	0.410481	+
chr11	6423992	6423999	AP1;MA0099.2	0.410481	-
chr11	6427075	6427082	AP1;MA0099.2	0.128347	+
chr11	6435094	6435101	AP1;MA0099.2	0.128347	+
chr11	6435236	6435243	AP1;MA0099.2	0.132189	-
chr11	6453324	6453331	AP1;MA0099.2	0.410481	-
chr11	6462596	6462603	AP1;MA0099.2	0.132189	-
chr11	6463575	6463582	AP1;MA0099.2	0.410481	-
chr11	6503983	6503990	AP1;MA0099.2	0.124948	+
chr11	6538764	6538771	AP1;MA0099.2	0.124948	-
chr12	6025728	6025735	AP1;MA0099.2	0.132189	-
chr12	6070432	6070439	AP1;MA0099.2	0.410481	+
chr12	6100080	6100087	AP1;MA0099.2	0.410481	+
chr12	6100281	6100288	AP1;MA0099.2	0.132189	+
chr12	6144219	6144226	AP1;MA0099.2	0.128347	-
chr12	6183533	6183540	AP1;MA0099.2	0.124948	+
chr12	6233527	6233534	AP1;MA0099.2	0.124948	-
chr12	6242977	6242984	AP1;MA0099.2	0.410481	-
chr12	6248550	6248557	AP1;MA0099.2	0.128347	+
chr12	6276820	6276827	AP1;MA0099.2	0.410481	-
chr12	6277134	6277141	AP1;MA0099.2	0.171186	+
chr12	6277147	6277154	AP1;MA0099.2	0.410481	+
chr12	6277459	6277466	AP1;MA0099.2	0.128347	+
chr12	6303320	6303327	AP1;MA0099.2	0.124948	+
chr12	6339103	6339110	AP1;MA0099.2	0.410481	-
chr12	6345488	6345495	AP1;MA0099.2	0.171186	-
chr12	6379578	6379585	AP1;MA0099.2	0.124948	+
chr12	6379897	6379904	AP1;MA0099.2	0.171186	+
chr12	6421898	6421905	AP1;MA0099.2	0.410481	-
chr12	6422118	6422125	AP1;MA0099.2	0.128347	+
chr12	6439553	6439560	AP1;MA0099.2	0.128347	+
chr12	6440462	6440469	AP1;MA0099.2	0.128347	+
chr12	6442553	6442560	AP1;MA0099.2	0.128347	-
chr12	6444853	6444860	AP1;MA0099.2	0.410481	+
chr12	6444959	6444966	AP1;MA0099.2	0.410481	-
chr12	6445296	6445303	AP1;MA0099.2	0.128347	-
chr12	6445511	6445518	AP1;MA0099.2	0.410481	+
chr12	6445585	6445592	AP1;MA0099.2	0.410481	-
chr12	6451241	6451248	AP1;MA0099.2	0.128347	-
chr12	6453765	6453772	AP1;MA0099.2	0.128347	-
chr12	6453996	6454003	AP1;MA0099.2	0.128347	+
chr12	6494970	6494977	AP1;MA0099.2	0.128347	-
chr12	6500096	6500103	AP1;MA0099.2	0.124948	+
chr12	6500100	6500107	AP1;MA0099.2	0.124948	+
chr12	6570316	6570323	AP1;MA0099.2	0.128347	+
chr12	6570620	6570627	AP1;MA0099.2	0.128347	-
chr12	6570903	6570910	AP1;MA0099.2	0.128347	+
chr12	6571254	6571261	AP1;MA0099.2	0.132189	+
chr12	6575913	6575920	AP1;MA0099.2	0.410481	+
chr16	5944923	5944930	AP1;MA0099.2	0.128347	-
chr16	5945088	5945095	AP1;MA0099.2	0.171186	+
chr16	5945227	5945234	AP1;MA0099.2	0.128347	-
chr16	5945327	5945334	AP1;MA0099.2	0.410481	+
chr16	5945446	5945453	AP1;MA0099.2	0.132189	-
chr16	5945454	5945461	AP1;MA0099.2	0.124948	+
chr16	5956123	5956130	AP1;MA0099.2	0.132189	+
chr16	5956142	5956149	AP1;MA0099.2	0.410481	-
chr16	5956184	5956191	AP1;MA0099.2	0.128347	+
chr16	6107434	6107441	AP1;MA0099.2	0.128347	+
chr16	6107848	6107855	AP1;MA0099.2	0.128347	-
chr16	6132099	6132106	AP1;MA0099.2	0.171186	-
chr16	6132292	6132299	AP1;MA0099.2	0.128347	+
chr17	5973299	5973306	AP1;MA0099.2	0.132189	-
chr17	5980957	5980964	AP1;MA0099.2	0.171186	-
chr17	5981572	5981579	AP1;MA0099.2	0.128347	-
chr17	6099687	6099694	AP1;MA0099.2	0.410481	-
chr17	6141934	6141941	AP1;MA0099.2	0.128347	-
chr17	6142176	6142183	AP1;MA0099.2	0.128347	+
chr17	6327993	6328000	AP1;MA0099.2	0.128347	+
chr17	6338761	6338768	AP1;MA0099.2	0.410481	+
chr17	6374701	6374708	AP1;MA0099.2	0.410481	-
chr17	6375021	6375028	AP1;MA0099.2	0.410481	+
chr17	6541663	6541670	AP1;MA0099.2	0.132189	+
chr17	6593599	6593606	AP1;MA0099.2	0.124948	-
chr18	6085494	6085501	AP1;MA0099.2	0.132189	-
chr18	6256693	6256700	AP1;MA0099.2	0.410481	-
chr18	6286688	6286695	AP1;MA0099.2	0.410481	+
chr18	6414557	6414564	AP1;MA0099.2	0.128347	-
chr19	5904205	5904212	AP1;MA0099.2	0.124948	-
chr19	5931395	5931402	AP1;MA0099.2	0.128347	+
chr19	5976966	5976973	AP1;MA0099.2	0.410481	+
chr19	6057193	6057200	AP1;MA0099.2	0.410481	-
chr19	6057437	6057444	AP1;MA0099.2	0.410481	+
chr19	6057507	6057514	AP1;MA0099.2	0.128347	+
chr19	6060977	6060984	AP1;MA0099.2	0.128347	+
chr19	6061098	6061105	AP1;MA0099.2	0.410481	+
chr19	6061283	6061290	AP1;MA0099.2	0.171186	-
chr19	6062330	6062337	AP1;MA0099.2	0.124948	+
chr19	6066034	6066041	AP1;MA0099.2	0.132189	-
chr19	6067241	6067248	AP1;MA0099.2	0.171186	+
chr19	6067355	6067362	AP1;MA0099.2	0.410481	+
chr19	6071413	6071420	AP1;MA0099.2	0.128347	-
chr19	6076254	6076261	AP1;MA0099.2	0.128347	-
chr19	6110188	6110195	AP1;MA0099.2	0.124948	-
chr19	6187126	6187133	AP1;MA0099.2	0.128347	+
chr19	6226111	6226118	AP1;MA0099.2	0.128347	-
chr19	6334001	6334008	AP1;MA0099.2	0.128347	+
chr19	6362603	6362610	AP1;MA0099.2	0.410481	+
chr19	6425003	6425010	AP1;MA0099.2	0.124948	+
chr19	6434065	6434072	AP1;MA0099.2	0.128347	+
chr19	6460012	6460019	AP1;MA0099.2	0.128347	+
chr19	6494361	6494368	AP1;MA0099.2	0.128347	-
chr19	6494468	6494475	AP1;MA0099.2	0.128347	-
chr19	6494561	6494568	AP1;MA0099.2	0.128347	-
chr19	6494747	6494754	AP1;MA0099.2	0.128347	-
chr19	6496541	6496548	AP1;MA0099.2	0.128347	-
chr19	6496731	6496738	AP1;MA0099.2	0.128347	-
chr19	6501783	6501790	AP1;MA0099.2	0.128347	-
chr19	6502686	6502693	AP1;MA0099.2	0.128347	+
chr19	6530730	6530737	AP1;MA0099.2	0.410481	-
chr19	6584415	6584422	AP1;MA0099.2	0.128347	-
chr19	6585108	6585115	AP1;MA0099.2	0.128347	+
